,prefix,subject,fwh,mask,stat,mean,std
1182,rs,sub-CTS201,0,union,std,3.120401620864868,5.195919036865234
1181,rs,sub-xp201,13,union,mean,624.9622192382812,68.67829132080078
1180,rr.rs,sub-CTS210,16,union,std,0.3706223666667938,0.3411957025527954
1179,rr.rs,sub-CTS201,1,union,sig,7.3312060077066175,1.7510852831552484
1178,rr,sub-adult16,8,union,mean,5567.75439453125,1068.403076171875
1177,rr.rs,sub-36,6,union,mean,407.3629150390625,51.27284622192383
1176,rs,sub-36,4,union,mean,410.8887023925781,59.053165435791016
1175,rr,sub-36,11,union,sig,9.335888598959185,0.9639733666508564
1174,rr.rs,sub-CTS210,12,union,std,0.46332547068595886,0.458511084318161
1173,rr.rs,sub-CTS201,5,union,sig,8.690074622306213,1.385094494983204
1172,rs,sub-CTS201,4,union,std,0.9829707145690918,1.3163821697235107
1171,rr.rs,sub-36,9,union,mean,402.9043273925781,44.40745162963867
1170,rr,sub-adult16,7,union,mean,5580.123046875,1122.300537109375
1169,rr.rs,sub-xp207,3,union,std,3.8579835891723633,8.729899406433105
1168,rs,sub-CTS210,17,union,std,0.36956533789634705,0.3434714674949646
1167,rs,sub-xp207,6,union,sig,7.725071207672028,1.240599447392968
1166,rr,sub-xp201,8,union,sig,9.403593632250091,1.4344905191344188
1165,rr.rs,sub-adult15,12,union,std,8.942465782165527,5.993165493011475
1164,rr.rs,sub-CTS201,20,union,std,0.46670281887054443,0.3085685968399048
1163,rs,sub-adult16,4,union,mean,5627.24560546875,1339.3265380859375
1162,rr,sub-36,19,union,sig,9.582509639242888,0.6763124886209017
1161,rr,sub-adult16,12,union,sig,9.198590453084558,0.9962778548907236
1160,rs,sub-xp207,1,union,mean,465.2435302734375,102.30390167236328
1159,rr,sub-xp201,0,union,sig,7.2867636636952,1.8413624545711422
1158,rr.rs,sub-CTS201,15,union,mean,386.8182067871094,42.566646575927734
1157,rr.rs,sub-xp207,4,union,mean,461.8719177246094,76.57018280029297
1156,rr.rs,sub-1,7,union,std,4.000113487243652,1.8756096363067627
1155,rr.rs,sub-1,3,union,std,5.6779680252075195,5.585335731506348
1154,rr,sub-xp201,4,union,sig,8.662940279393185,1.7571084009173483
1153,rs,sub-CTS210,2,union,mean,116.58817291259766,15.321595191955566
1152,rs,sub-CTS201,8,union,std,0.6819689273834229,0.7483325004577637
1151,rr.rs,sub-CTS201,9,union,sig,9.026980008722088,1.1846675004841
1150,rr.rs,sub-CTS210,13,union,mean,113.87250518798828,7.298315525054932
1149,rr,sub-xp207,0,union,mean,465.53973388671875,102.53070068359375
1148,rr,sub-adult16,16,union,sig,9.32027826171786,0.8857449363655023
1147,rr.rs,sub-1,20,union,mean,662.821533203125,63.859622955322266
1146,rr.rs,sub-CTS201,11,union,sig,9.11320648383991,1.117303496828914
1145,rr.rs,sub-xp201,13,union,sig,5.874020619642368,1.4225366772174566
1144,rs,sub-xp201,12,union,std,0.5947679281234741,0.5110997557640076
1143,rr.rs,sub-36,0,union,mean,415.29248046875,83.2700424194336
1142,rs,sub-36,2,union,mean,413.97705078125,70.48497009277344
1141,rr,sub-adult15,1,union,std,44.18498611450195,61.55768966674805
1140,rs,sub-adult16,2,union,mean,5659.36376953125,1538.6534423828125
